,Unnamed: 0,Comment,Constructiveness,Toxicity,Title,Topic
0,6252,Người ăn không hết kẻ lần chẳng ra,0,1,28 năm chịu đựng bộ ngực khổng lồ,SucKhoe
1,4684,Nhiều người cứ nghĩ đạp xe là văn_minh . haizzzz,0,1,Cả trăm người đạp xe thể dục bịt kín đường,OtoXemay
2,1731,Rất văn_hoá,0,0,Cô gái được bố nhắn nhủ ba từ mỗi ngày,GiaoDuc
3,4742,Đời ta ba_mươi đời nó . Mua chiếc xe cũng chỉ phục_vụ đi_lại được tốt hơn mà thôi . Cần gì những thứ linh_tinh kia làm gì .,0,0,Các loại phụ kiện ôtô đại lý hay chào khách,OtoXemay
4,4521,"Tước bằng lái vĩnh_viễn đi . Chạy lếu_láo thật , không coi mạng người ra cả !",1,1,Ba người thoát chết dưới bánh xe bồn,OtoXemay
5,6340,Cảm_ơn các y_bác_sĩ,0,0,Những 'bước tiến diệu kỳ' của Trúc Nhi - Diệu Nhi,SucKhoe
6,576,Thật tuyệt_vời !,0,0,Chiếc váy tạo nên 'biểu tượng quyến rũ' Marilyn Monroe,GiaiTri
7,5202,Quỷ dữ chứ không phải con_người . Thật xót_xa cho các cháu khi bị chính những người máu_mủ ruột_rà đối_xử như_vậy ! !,0,1,5 cháu bé bị mẹ và cậu chăn dắt ăn xin,PhapLuat
8,6363,"Rất nguy_hiểm nếu không quản_lý tôt nguồn_gốc thục phẩm , cần phải có thanh_tra nguồn_gốc thực_phẩm cam_kết từ nơi sản_xuất tránh những trường_hợp vì lợi_nhuận mà làm liều coi_thường sức_khoẻ cac con.Nếu nhiễm_độc cao còn phát_hiện được sớmMong rằng các cơ_quan_chức_năng sat sao vì tương_lai con_em chúng_ta .",1,0,"51 học sinh cùng trường đau bụng, nôn trớ",SucKhoe
9,439,"Nghe cũng nghẹn lòng thật , tương_lai còn dài , lỡ sai vẫn kịp quay lại ...",0,0,Buồn làm chi em ơi' - khúc tâm tình của Hoài Lâm,GiaiTri
10,2750,"Google , intel , Ibm của Mỹ đua công_nghệ tạo ra máy_tính lượng_tử , chip lượng_tử cách đây mấy năm rồi ạ và họ cũng có sản_phẩm mẫu đầu_tiên . Trung_Quốc chỉ sao_chép những gì được công_bố và nghiên_cứu sau thôi ạ . Mọi người đừng tâng_bốc Trung_Quốc quá bởi_vì một người đi sau , nghiên_cứu sau không_thể linh_hoạt và sáng_tạo hơn người đã nghiên_cứu trước được .",1,1,Chip chuyển đổi lượng tử tốc độ ánh sáng đầu tiên thế giới,KhoaHoc
11,7487,Trong mắt tôi cậu là Hero !,0,0,Chuột dò mìn được trao huân chương dũng cảm,TheGioi
12,5272,ko có từ nào hình_dung về 2 đứa này đc ! ng ta có câu hổ dữ ko ăn thịt con vậy_mà .....,0,0,5 cháu bé bị mẹ và cậu chăn dắt ăn xin,PhapLuat
13,5653,"Cảm_giác của nam thanh_niên khi bị chúng đe_doạ , cướp_bóc còn cô người_yêu thì bị chúng hãm_hiếp nó đau_đớn và bất_lực cỡ nào thì không_thể tưởng_tượng nổi .",1,0,Băng cướp 'xả mã tấu' uy hiếp nạn nhân,PhapLuat
14,3999,"Lao_động ở đây chỉ có Ấn và Việt_Nam là tiềm_năng , dời về nước làm_chi , qua việt_nam cho gần",1,0,Doanh nghiệp Nhật Bản xếp hàng xin nhận trợ cấp để về nước,KinhDoanh
15,6033,""" Một cô_giáo đang dạy âm_nhạc ở lớp bên cạnh nghe tiếng khóc sang lớp 4C tìm_hiểu , cũng thấy choáng_váng "" - như_vậy phải có tác_nhân vật_lý cụ_thể tác_động mới nhanh như_vậy . Có_thể hơi hoá_chất , sóng_âm địa_tầng , ... và tâm_linh hơn là ma_quỷ tác_động lên những người có đáp_ứng nhạy_cảm tác_nhân cao .",1,0,13 học sinh phải đi sơ cứu khi đang ngồi nghe giảng,SucKhoe
16,582,thực_ra bây_giờ mọi người chụp ảnh rất nhiều nhưng ít người quan_tâm và không_mấy_khi xem_lại điển hỉnh là ảnh cưới,0,0,Chiều Xuân mê chụp ảnh bình minh,GiaiTri
17,9930,"Phải sống chung với dịch thôi , đóng đến bao_giờ nữa . Ủng_hộ mở đường_bay quốc_tế .",0,0,Các hãng hàng không bay quốc tế từ 18/9,ThoiSu
18,7051,"lịch công_việc và đi_lại của ông dầy_đặc như_vậy , việc nhiễm nCov khó tránh khỏi , mong chúa phù_hộ cho ông sớm khỏi bệnh và tiếp_tục dẫn_dắt đất_nước .",1,0,Bác sĩ Anh nói Trump mắc Covid-19 là 'không thể tránh khỏi',TheGioi
19,8158,"Murray cố nhưng cũng k thể thi_đấu đỉnh_cao đc nữa , dáng đi thất_thểu , quá mệt_mỏi và chậm_chạp . Còn những cú trái của Stan thì vẫn có độ chất rất riêng và rất đẳng_cấp",0,0,Anh quốc thảm bại ở ngày đầu Roland Garros,TheThao
20,9896,Mở bay quốc_tế thì không_thể tránh khỏi làn_sóng covid lần thứ ba . Thật,0,0,Bốn nguy cơ lây nhiễm Covid-19 ở Việt Nam,ThoiSu
21,2249,Để nuôi cá_sấu ! ! ! !,0,0,Bể nước bí ẩn 2.300 năm tuổi,KhoaHoc
22,4640,Với động_cơ_điện chạy từ nguồn động_năng từ pin sẽ làm thay_đổi thế_giới .,1,0,Buick Electra concept - xe điện hạng sang tương lai,OtoXemay
23,9485,Vẽ hẳn cái đầu_lâu xương chéo lên biển rồi mà mấy anh này còn không sợ,0,0,Ba người bị lũ cuốn,ThoiSu
24,4947,"So với Kona chưa biết con nào option hơn nhưng Kona nó nhìn đẹp và thanh_thoát hơn nhiều.Xem ra Xem_ra hộp_số DCT của Seltos có vấn_đề về nhiệt_độ và chuyển số , đã ghi_nhận việc tua máy lên cao 4000 vòng ở số 1 mà k chuyển số cao hơn , đã lái thử và thấy rất chán",1,0,Chọn Kona 2.0 đặc biệt hay Seltos Luxury?,OtoXemay
25,9920,Chúc_mừng ngành hàng_không VN,0,0,Các hãng hàng không bay quốc tế từ 18/9,ThoiSu
