,Unnamed: 0,Comment,Constructiveness,Toxicity,Title,Topic
0,7218,"Cuộc bầu cư người đứng đầu Quốc_gia ở Mỹ là công_khai và công_bằng nhất , chính vì_vậy đến khi có kết_quả chính_thức mới biết được người_dân họ bầu cho ai .",0,0,Biden dẫn Trump 13 điểm,TheGioi
1,8767,Mình thích Messi ở lại để Barca và Cules hiểu thất_bại nối_tiếp thất_bại là vì đâu . Nếu ở lại rất có_thể Si sẽ phá sâu thêm kỉ_lục thua 2-8 mà nhờ anh clb mới có được .,1,0,Bartomeu: 'Tôi không thể để Messi ra đi',TheThao
2,2288,"dám chui ra , vậy ăn vô_lại ếch said : ' )",0,0,Bọ sống sót sau khi chui ra khỏi hậu môn ếch,KhoaHoc
3,5360,Hoan_hô sự quả_cảm của các chiến_sĩ và sự đồng_lòng của các anh_em lái_xe đường dài và người_dân xung_quanh .,0,0,Một tiếng vây bắt nhóm buôn ma túy trên quốc lộ,PhapLuat
4,1852,Tôi cực_lực phản_đối cho hs dùng đt trong lớp_học vì tôi là một giáo_viên nên tôi biết hs có thực_sự cần hay không ?,0,0,Đã đến lúc phải cho học sinh dùng điện thoại trên lớp',GiaoDuc
5,1218,"Ta có công_thức tính diện_tích tam_giác là ( cạnh_đáy * chiều cao ) / 2 . Quy_đổi đơn_vị đo diện_tích trái_đất từ km sang mm cho dễ_tính . Ở đây ta tưởng_tượng 1 tam_giác có 3 cạnh lớn hơn gấp nhiều lần số_đo diện_tích trái_đất và giả_sử đường_cao tương_ứng với cạnh_đáy ngắn nhất_là 0.1 mm . Nếu cạnh_đáy đó đủ dài vậy diện_tích của nó sẽ lớn hơn diện_tích của trái_đất . Vậy Tương_ứng với 2 cạnh còn lại , vì độ dài của chúng lớn hơn hoặc bằng cạnh_đáy vừa xét , suy ra độ dài 2 đường_cao còn lại sẽ không_thể lớn hơn 0.1 mm . Vậy tổng của chúng sẽ nhỏ hơn 0.3 mm và nhỏ hơn 1 mm.Vậy kết_luận là có_thể có nếu 1 tam_giác có độ dài 3 cạnh dài hơn nhiều so với trái_đất và chiều cao tương_ứng với cạnh ngắn nhất nhỏ hơn hoặc bằng 1/3 mm .",1,0,Bài toán của thầy giáo Việt trên báo Anh,GiaoDuc
6,4912,Trước cũng thích con Seltos lắm nhưng giờ nhìn cái gầm với nội_thất bên trong chán hẳn .,1,0,Chọn Kona 2.0 đặc biệt hay Seltos Luxury?,OtoXemay
7,5971,"Chia không đều nhau , không công_bằng thì rất dễ xảy ra mâu_thuẫn . Rất nhiều những án_mạng thương_tâm về tranh dành đất_đai rồi . Hy_vọng sẽ không xảy ra mâu_thuẫn về đất_đai nữa . Đây cũng là lời cảnh_tỉnh cho những_ai có tính tham_lam , muốn chiếm_đoạt đất_đai thừa_kế . Hãy sống và làm_việc theo thượng tôn của pháp_luật",1,0,"Bố mẹ qua đời không để lại di chúc, các con chia đất thế nào?",PhapLuat
8,7719,nhìn logo thấy đẹp quá,0,0,Đại sứ Mỹ tại Việt Nam làm bánh trung thu: kết hợp nguyên liệu kỷ niệm 25 năm thiết lập quan hệ,TheGioi
9,9016,Không mở_đường bên Đồng_Nai thì điểm kẹt nằm trên cầu,0,0,2.200 tỷ đồng xây cầu nối TP HCM với Đồng Nai,ThoiSu
