,Unnamed: 0,Emotion,Sentence
0,713,Sadness,người ta có bạn_bè nhìn vui thật
1,1827,Surprise,cho nghỉ viêc mói đúng sao goi là kỷ_luật
2,1166,Disgust,kinh vãi 
3,228,Fear,nhà thì không xa lắm nhưng chưa bao_giờ đi vì sợ bị đè_bẹp luôn người = ) ) ) ) )
4,1942,Anger,bố không thích nộp đấy mày thích ý_kiến không
5,285,Other,bắt_cóc_bỏ_đĩa . quanh_đi_quẩn_lại chỉ khổ dân_đen thôi !
6,260,Other,per khi nào bạn có bằng xe ôtô thì bạn mới hiểu . sai thì đã có ca
7,115,Enjoyment,một hành_động đẹp đầy tính nhân_văn ☺️☺️
8,1054,Other,"anh nhỏ_nhẹ xin 100k rồi trước khi đi còn chào người đẹp , đi cẩn_thận """
9,575,Other,per trình mày vẫn còn thấp chán = ) )
10,40,Other,mấy_ai được như_vậy ? ?
11,290,Enjoyment,có ai như tao vô đọc bình_luận 藍 tao cười tao xĩu
12,1798,Disgust,ủa má . 2 đứa yêu nhau vô_duyên và sân_si giống nhau vậy ?
13,23,Enjoyment,góp vui cho chủ thớt 
14,1044,Sadness,sống 17 năm chưa crush ai bao_giờ
15,284,Other,ổng quay thiệt mà sao chửi ổng thế . không quay sao máy bạn xem được đó : ) )
16,211,Disgust,thần_kinh cái đầu mày …
17,1180,Enjoyment,nghe ngọt thế : ( (
18,491,Other,sao lại cứ phải thế nhỉ
19,1467,Enjoyment,mệt vãi .. mà cừời cũng vãi ? ? ? ? ? ?
20,384,Fear,kinh_khủng thật : ( (
21,12,Other,hậu_duệ mặt_trời đấy chứ đùa đâu nhá 
22,1814,Enjoyment,tôi ở phú_yên và anh này nói rất chuẩn < 3
23,1027,Enjoyment,đứa nào bị táo_bón thâm_niên cứ ra cầu này mà nhảy đảm_bảo hiệu_quả ngay lần đầu trải_nghiệm 藍藍藍
24,1953,Surprise,trơi ơi sao lại cháy chứ
25,235,Disgust,có những người không có ý_thức bỏ quần_áo rách hoặc mặc rồi để vào tủ để đỡ phải đi vứt ...
26,795,Sadness,per khi ế nhưng vẫn phải giương mắt nhìn bọn nó ân_ái
27,1045,Other,per tiến_cử bản_thân nào
28,83,Enjoyment,vẫn chọn tech là ngân_hàng đồng_hành
29,578,Other,per dạo này ít tung_tăng hơn xưa nên hơi trầm_cảm dồi chăng 
30,1666,Surprise,dume sao sao nó nói tiếng việt được vậy
31,67,Other,kêu_gọi thì lói thế thôi chứ dân nó vẫn dùng apple như_thường
