,free_text,label_id
0,Em được làm fan cứng luôn rồi nè ❤️ reaction quá hay quá cute coi mấy giờ này quá hợp_lí = ] ] ],0
1,Đúng là bọn mắt híp lò_xo thụt : ) ) ) bên việt_nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L : ) ) ),2
2,Đậu_Văn_Cường giờ giống thằng sida hơn à,0
3,CÔN_ĐỒ CỤC_SÚC VÔ_NHÂN TÍNH ĐỀ NGHI VN . NHÀ_NƯỚC VN BAN THƯỞNG .,2
4,Từ lý_thuyết đến thực_hành là cả 1 câu_chuyện dài = ) ),0
5,Coronavirus is manmade,0
6,Đố chúng m nhận ra ai,0
7,Lúp lúp như chó .,1
8,殺殺殺,0
9,"Thế_mà mình nói mấy thằng bắc kì , bọn đó lại bâu vô nói mình phân_biệt ! : D",2
10,"Được anh ưi , lâu rồi không nghe phúc du rap 藍",0
11,Cắt cho trẻ trâu bớt thui mà ,0
12,Nghe rất vô_lí nhưng cực_kì thuyết_phục,0
13,"chán ghê hong có pé 2 mới máu được , hâhha",0
14,Sao t gửi đc bây,0
15,thế đấy . làm j bọn nó . bọn nó có quyền nên làm j chả được : v,0
16,Loại này cho dựa cột thôi chứ độ_thế_nào,2
17,Thuong wa di,0
18,Dạy bơi cho cá . Bơi thì đương_nhiên nó bơi được vì nó là cá . Làm_sao cho nó sống được mới là điều người_dân đang quan_tâm .,1
19,Ủa chứ bữa xin_lỗi khóc tế om xòm mà giờ chửi nữa rồi bó_tay con này hỗn quá,2
20,Bamtp chạy ngay ddi : ) ),0
21,Cứ đăng cái ảnh 2 bố_con là y_như_rằng bị đổi,0
22,"Dàn_Táo năm nay làm chương_trình TÁO_QUÂN VI_HÀNH nhé mn , phát_sóng 9h tối 23 Tết trên VTV3 : ) )",0
23,Thật chán với chế_độ quản_lý dân_sinh,2
24,Đời vô_thường lắm .. sống phải tu tâm tích đức cô oi .. khẩu nghiệp quá cô ơi,0
25,"có ai biết làm cách nào để tìm lại được , đồng_đội , đồng_chí , hay bạn_hữu cùng đơn_vị của người trong bức ảnh không .",0
26,Sống chậm lại các mày ?,0
27,Chương_trình quảng_cáo xin đc bắt_đầu,0
28,Nguyễn_Hữu_Nhân đớp cả của cháu . Thứ mắc dạy,2
29,Nhậu cái đm chúng_mày lũ chó hại dân hại nước,2
30,Thế_Vinh_Yasbaga tối_cao,0
31,mài có óc để suy_nghĩ ko add ? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu ?,2
32,chuẩn,0
33,Chỉ 3 vàng ngọc như con heo nọc nhà e,2
34,phải thầy k ta,0
35,Cảnh_sát chính_tả comingg nè : ) ),0
36,Xuân đương tới nghĩa_là xuân đương qua,0
37,Nhìn chúng_nó cmt mà đắng bạn à = ) ) ) ) ) ) ),0
38,Ý_thức còn ít hơn cả số tiền trong túi t,1
39,Em yêu anh từ thuở tóc dài,0
40,theo chân mấy anh hàn_quốc rồi :,0
41,"Lương tháng 7,8 củ thui ak con trai , nhưng bố vẫn ăn tạm cua hoàng_đế để sống wa ngày thôi con trai ak",0
42,Mệt quá thầy ạ ,0
43,Gia_Lộc Tran_Quang còn j vui hơn cà_khịa : ) ) ) ) ) ),0
44,chị Hôm_nay đẹp quá,0
45,Xem r nè,0
46,Việt_Tiến nghèo là rõ 臘,0
47,xxx video ,1
48,thầy đéo xoá kênh kêu_gọi học_trò report cho bay kênh thiệt luôn : ) ),2
49,Anh ba láo_nháo là Tú xiên giờ,2
50,Người ta bị lường_gạt 1tỷ mấy còn êm_ru mà đằng này hơn trăm triệu thôi mà la um xùm_hà,0
51,Tú thích hoa_hồng và mùa đông được Quang đâm phía sau mông,0
52,"mẹ , sao bộ k mở cửa_hàng kinh_doanh bán bình luôn cho dân , ko lại phạt vì mua phải bình đểu : ) ) )",2
53,Cuối_cùng anh đã trở_lại . Em tưởng anh biến mất luôn cho em mừng  thiệt là tình ( nội_dung mang tính giải_trí . Ko có ý anti hay ghét ai ),0
54,Chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp nay cung k bao gio co .,2
55,Vừa tăng lương phát biết ngay,0
56,Ai là cảm_tình diên like,0
57,Xin tộc_trưởng hãy cho Hiếu lợn thần ra trận ! Đảm_bảo sẽ có chiến_thắng,0
58,Đấu_khẩu - Chim_lợn ,1
59,Cai miệng nói không sợ bị hậu_quả,1
60,4 năm rồi à,0
61,Đầu 2 thứ tóc rồi mà_còn bị trẻ trâu Levi lừa.藍,0
62,Nguoi mien trung nhu e chi ngoi xem cac bac chui nhau thoi : ) ),0
63,Khắc_Thành_Nguyễn phục cái máu lồn,2
64,Quan va . Dan nhu nhau phai ton trong phap luat . Khong thuen vi mot ai ?,0
65,Chúc abe 20-10 vui_vẻ,0
66,ko vào thì lấy đâu ra vốn vay FDI cho các anh đút_túi ?,0
67,Việc nhẹ lương cao mình xin nhường cho những người thất_nghiệp : ) ),0
68,B52 If J97,0
69,Chào người anh_em,0
70,Diệp_Gia_Nghi_nghiệp nó quật m chết bh,0
71,"Duy_Khương bên nó ai bị hoặc nghi bị thì tự cách_ly tự điểu trị nhé , nó còn không cho xét_nghiệm cơ , chỉ khi nào bạn chết thì nó mới khám_nghiệm để kết_luận có do virus hay không , ở ngoài đường mà đeo khẩu_trang bọn Anh nó còn đấm vào mặt cho chứ ở đó mà điều_trị",0
72,9 x 5 = 55 chứ ôg a già,0
73,Trương_Duy ko mvp đội mình thì là mvp của đội bạn : ) ) ),0
74,Xin video với bro ,0
75,Bị gì bị lắm thế,0
76,Du_học_sinh Úc cơ ấy = ) ),0
77,Ôi vãi a quang : v,0
78,Chờ_đợi 17 nồi bánh_chưng mới đc fan cứng nên cmt cho kh mất chứ ko biết chơi GA,0
79,Khá khó,0
80,Giúp e làm_đẹp với . E ko có điều_kiện . Ko có khả năg nhưg thấy có người đẹp e rất thích,0
81,Thu_Boo xuất_sắc ... nhưng em lại làm mấy bạn kia buồn thêm 藍藍藍,0
82,"Hoan_nghênh ông Trần_Dần có tư_tưởng tiến_bộ , không chống_cộng_sản_Việt_Nam nữa . Chỉ có quên đi quá_khứ để yêu_thương . Ai cũng về già lo tu_thân sám_hối là điều lựa_chọn tốt nhất . Chúc ông Trần_Dần sống lâu 130 tuổi và luôn khoẻ_mạnh đẹp_lão .",0
83,Mấy thằng già làm bộ_trưởng này_nọ mà đầu_óc thua cả 1 bác nông_dân,2
84,Võ_Thành_Nhân huyền_thoại : ( (,0
85,Sương_mù là tại thiên_tai !,0
86,Mình không quan_tâm cô_đơn cho lắm,0
87,Thế e thích làm phù_thuỷ r bạn nam phải làm s đây a nhỉ,0
88,Uầy tôi là cưng phán các ông ạ được vl a ưi = ) ) ),0
89,Maruko_Linh,0
90,ảnh này ở video Superheroo nghe buồn não ruột - _ _ -,0
91,anh tik nói quá đúng luôn,0
92,BaVi : ) ),0
93,Ở đây ai là chủ ? ? ?,0
94,Minh_mẫn vcl,1
