,sentence,sentiment,topic
0,giáo_trình chưa cụ_thể .,0,1
1,giảng buồn_ngủ .,0,0
2,"giáo_viên vui_tính , tận_tâm .",2,0
3,"giảng_viên nên giao bài_tập nhiều hơn , chia nhóm để làm bài_tập , giảng kỹ những vấn_đề trọng_tâm của môn_học , đưa ra phương_pháp để học_hiệu quả hơn .",0,0
4,"giảng_viên cần giảng bài chi_tiết hơn , đi_sâu hơn code và chạy thử chương_trình có trong bài giảng nếu được .",0,0
5,nên có giảng_viên nước_ngoài dạy để sinh_viên có cơ_hội thực_hành giao_tiếp .,0,0
6,nên có bài_tập lớn đồ_án môn_học .,0,1
7,"giảng_viên đảm_bảo nội_dung học , phân_tích giải nhiều bài_tập .",2,0
8,"nêu rõ mục_tiêu , mục_đích môn_học để sinh_viên tiếp_thu dễ_dàng .",0,1
9,có một_số vấn_đề nói chưa rõ .,0,1
10,"giáo_viên tận_tình , chuẩn_bị bài_học chu_đáo .",2,0
11,giảng_viên dạy hay và tâm_huyết .,2,0
12,"cách tính học_phí đối_với môn thực_hành không được rõ_ràng và minh_bạch , trong khi học thực_hành sinh_viên hầu_như không sử_dụng máy_tính của trường và kiến_thức học được từ giảng_viên là rất ít so với học lý_thuyết .",0,1
13,nói_chuyện dễ nghe .,2,0
14,"hiểu được mục_tiêu của môn_học , thầy nhiệt_tình giúp_đỡ sinh_viên .",2,0
15,"cô dạy khó hiểu , phải về nhà học thêm nhiều mới hiểu những gì cần_thiết cho môn_học .",0,0
16,"truyền_đạt tốt , bám sát đề thi , bài giảng cung_cấp đầy_đủ .",2,0
17,thầy_cô dạy rất nhiệt_tình !,2,0
18,em không có bất_cứ một lời phê_bình nào .,1,3
19,"nội_dung học quá trừu_tượng , thực_hành chưa thực_sự mang lại hiệu_quả , đa_phần sinh_viên thực_hành theo bài_tập được giao , thực_hành xong không biết mình đang làm gì , không thấy được ý_nghĩa thực_tiễn của môn_học .",0,1
20,cô nên thêm phần điểm đi học thực_hành .,0,0
21,cách nói_chuyện với sinh_viên gây mất cảm_tình của sinh_viên đối_với giảng_viên .,0,0
22,"đồng_thời , bài giảng , theo em nhìn_nhận , thực_sự rất chi_tiết .",2,1
23,truyền_đạt kiến_thức .,1,0
24,rất ấn_tượng với những bài_tập thở giúp cho não bộ được nghĩ ngơi của cô .,2,0
25,"thầy rất nhiệt_tình , giảng bài rất hay và dễ hiểu .",2,0
26,"nhưng em không mấy hài_lòng về cách giải_quyết vấn_đề của giảng_viên khi giảng_viên đã đi trễ như_vậy , thầy trực phòng thực_hành lên_tiếng bảo em ( và một_số bạn khác ) ra về .",0,0
