,index,comment,n_star,date_time,label
0,0,"Điện thoải ổn . Facelock cực nhanh , vân tay ôk , màn_hình lớn , pin trâu ( liên_quân , Zalo , YouTube ) một ngày mất khoảng 45 % ) tuy chỉ chip 439 nhưng rất mượt . Đa_nhiệm khá ổn",5,5/2/2020,{SCREEN#Positive};{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
1,1,"Mình mới mua vivo91c . Tải ứng_dụng , games nhanh . Có cái không hài_lòng là cài hình nền khoá màn_hình không được . Hay tại mình chưa biết hết chức_năng của nó . Tư_vấn_viên nhiệt_tình",5,14/05/2019,{FEATURES#Negative};{PERFORMANCE#Positive};{SER&ACC#Positive};{OTHERS};
2,2,"Xấu đẹp gì ko biết nhưng rất ưng TGdđ phục_vụ rất tuyệt_vời , mua ở TGdđ mòn đít và sẽ mua dài_dài ủng_hộ TGDđ",5,26/03/2020,{DESIGN#Neutral};{SER&ACC#Positive};
3,3,Màn_hình hơi lác khi chơi game . Game nặng thì mình chưa chơi . Nhưng_mà ở dưới có 2 bên loa ngoài sao nó dùng có 1 bên vậy . Cho mình hỏi máy các bạn cũng vậy hả hay máy mình bị lỗi,4,4/6/2019,{PERFORMANCE#Negative};{DESIGN#Negative};{OTHERS};
4,4,"Nói_chung máy đẹp với màn amoled , ổn trong tầm giá , hơi tiếc là thời_lượng PIN k cao như quảng_cáo",4,12/5/2020,{SCREEN#Positive};{BATTERY#Negative};{DESIGN#Positive};
5,5,"Đt có 3 lỗi : 1 là chế dô bỏ_túi , 2 là ánh_sáng điện_thoại , 3 là nhấp đúp vào màn_hình thì ko nhạy cho lắm , còn lại thì rất tốt",4,22/04/2020,{SCREEN#Negative};{FEATURES#Negative};{GENERAL#Positive};
6,6,Thật tuyệt máy qua mượt túi thích như thế_giới Di_Động có chỗ giá khác túi không hiểu đánh_giá 5sao cho thế_giới Di_Động phương Phú_Châu 5sao nhân_viên OK,5,3/6/2020,{OTHERS};
7,7,"Sản_phẩm tốt , pin sài cả ngày chưa hết , chơi game lướt web rất mượt , chụp hình đẹp , cầm vừa tay . Rất đáng đồng_tiền",5,21/10/2017,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{PRICE#Positive};{GENERAL#Positive};
8,8,"Mua đc 1 tuần và đt sài khá tốt .. Giá tầm trung mà v là ok lắm rồi . Pin cực_kì mạnh . Điểm yếu là cam trc thôi chứ cam sau đẹp lắm nha . Mọi người sài kĩ một_tí thì máy tốt lắm , chứ máy gần 4tr mà lên đây chê này chê nọ là sao ? ? V là tốt lắm rồi",5,11/5/2020,{CAMERA#Neutral};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};
9,9,Pin nhanh hết vân tay cũng chưa đk nhạy Nhân vien tgdd tư_vấn nhiệt_tình dễ_thương 5 sao về phong_cách bán hàng,2,7/2/2020,{FEATURES#Negative};{BATTERY#Negative};{SER&ACC#Positive};
10,10,Mới sài để cặp đã nứt màn không lên nứt nên k có bảo_hành thay màn gần bằng máy mới chán,1,22/07/2020,{SCREEN#Negative};{SER&ACC#Negative};
11,11,"Máy thiết_kế quá đẹp , dùng dk mấy hôm r thấy máy vẫn ổn , tiếc là pin tụt quá nhanh , pin sạc thì nhanh nóng ",2,4/5/2020,{BATTERY#Negative};{DESIGN#Positive};{GENERAL#Positive};
