,Unnamed: 0,Emotion,Sentence
0,188,Other,cho mình xin bài nhạc tên là gì với ạ
1,166,Disgust,cho đáng_đời con quỷ . về nhà lôi con nhà mày ra mà đánh 
2,1345,Disgust,lo học đi . yêu_đương lol gì hay lại thích học_sinh học
3,316,Enjoyment,uớc gì sau_này về già vẫn có_thể như cụ này : ) )
4,1225,Enjoyment,mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .
5,1220,Anger,thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết
6,44,Other,một lí_do trog muôn_vàn lí_do
7,1951,Surprise,thật hay đùa ác vậy . không_thể tin được
8,1249,Anger,"ko phải con mình , mà xem còn thấy đau như_vậy huống_gì người trong cuộc . thật là phẫn_nộ mà . cơ_quan_chức_năng làm_việc quá chậm_trễ , đến giờ mà vẫn chưa tìm ra người chịu trách_nhiệm . "
9,1063,Sadness,per nghe đi rồi khóc 1 trận cho thoải_mái . đừng cố gồng mình lên nữa
10,1523,Enjoyment,công_nhận sáng_tạo thật đấy
11,1785,Disgust,đòn tấn_công cực gắt và cục sút của anh 
12,1069,Other,trời nắng_nóng thế_này mình muốn bán nước không biết thu_nhập có cao không ạ : 3
13,776,Enjoyment,minh biết nữa ne
14,1398,Disgust,mấy thằng củ lol việt_nam nhảm_nhí : ) )
15,497,Sadness,"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người"
16,562,Other,"bếp dầu , nhiều nhà vẫn dùng"
17,327,Other,nếu thấy phụ_nữ quá phức_tạp để hiểu và chinh_phục thì đây là cách giải_quyết vấn_đề
18,191,Fear,"thời_buổi bây_chừ chuyện gì cũng có_thể xảy ra , vậy nên thôi trất , đừng nên tin ai"
19,298,Enjoyment,sau em này mà làm cô_giáo ngồi kể chuyện hs lại há mồm ra nghe 
20,1750,Anger,"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à"
21,303,Disgust,coi video chưa hiểu gì đã làm ầm lên
22,569,Enjoyment,chả mong gì nhiều chỉ mong về già được như hai ông_bà ! 
23,860,Enjoyment,yêu chết đi được .
24,1503,Sadness,mày định lướt qua rồi nhưng khi đọc bình_luận của các bạn và xem kĩ lại thì mày đã rớt nước_mắt  .... người cha thật vĩ_đại
25,419,Sadness,xin đi chơi với bạn ngày tổng_kết không cho cứ bắt học miết : ) ) khá mệt
26,1272,Anger,cá_nhân mình nghĩ nó dừng hay đỗ đúng_sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý_kiến . công_nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt
27,29,Fear,từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 
28,337,Fear,t gặp quả này thì bỏ xe mà chạy ? ?
29,180,Other,thế con trai là của ai cho
30,1782,Surprise,per đây mí chính là cụ tổ của những chiếc sừng này
31,205,Fear,muốn share về mà sợ bị bạn nè phẫn_nộ quá
32,1080,Sadness,"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy_đủ từ sgk đến vở bài_tập "
33,831,Sadness,nay buồn : ( ( (
34,298,Fear,"cv không áp_lực , môi_trường xung_quanh mới dễ tạo áp_lực"
35,192,Enjoyment,ai có link nhạc mấy bài trên không ạ hay vãi ra
36,632,Other,đây người ta gọi là . khi đại_thánh nhập hoặc là múa_lân đầu năm
37,925,Other,phải bồi_thường thiệt_hại bị trầy_xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .
38,1410,Sadness,làm công_nhân đã bị vắt kiệt_sức khoẻ cho đến khi bị thải
39,1774,Enjoyment,khi nào phường có chế_độ phát chồng khi mang thân đến đăng_kí kết_hôn tự_nguyện 
40,1573,Anger,đéo được tích_sự gì 
41,986,Sadness,haizzz ... thế_là chưa có kq gì tốt_đẹp cả ..
42,1453,Sadness,bản_thân cố_gắng cũng chẳng dễ_dàng gì : ( (
43,875,Disgust,"nói_chung là 1 lũ lừa_gạt thôi , việt_nam mình là vậy đó"
44,498,Other,thế em ăn cơm chưa ?
45,1122,Other,"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành_nghề ha_ha"
46,789,Disgust,chủ_yếu là bọn trẻ đú với bọn dân_trí thấp mà thích thể_hiện bác nhỉ
47,1848,Anger,mày coi_chừng có ngày tao dã dô mặt_mày như dzầy
48,1733,Surprise,canh thời_gian đăng đúng vãi !
49,168,Disgust,quan_trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo_tưởng
50,1382,Sadness,học xong 12 như hết thanh_xuân có_lẽ phải bỏ lỡ 1 người
