,Unnamed: 0,Emotion,Sentence
0,941,Other,"tính tao tao biết , chẳng có chuyện gì có_thể làm tao phát điên cả"
1,142,Enjoyment,"lại là lào_cai , tự_hào quê mình quá : ) )"
2,1164,Sadness,bị từ_chối rồi
3,182,Enjoyment,tam_đảo trời đẹp các mem à
4,868,Other,đọc bình_luận của thằng đó không thiếu chữ nào 
5,236,Enjoyment,crush tao vẫn còn trinh nhé 
6,1229,Anger,nó nói không đúg ư . đg của nhà bà ư . nó đóg phí đg bộ còn nhà bà thì đóg thuế đất thôi . đất nhà bà sử dụg được cả mặt đg cơ . sao không mag ban ghế ra đấy mà kê
7,355,Fear,gap kiểu này chắc đái ra quần quá
8,1538,Enjoyment,yêu em moạ moạ 
9,536,Sadness,có ai như tao không đọc đề thì quen nhưng lại quên phương_pháp giải . chắc mất_gốc rồi : ( (
10,348,Enjoyment,t cười ỉa ... 藍藍
11,199,Fear,tao không biết tao đủ ổn để đi học thêm không nữa
12,1112,Sadness,làm chó khổ lắm chứ bộ : ( (
13,232,Enjoyment,per hay xàm xàm mà zui hè
14,324,Disgust,dm thể_loại xàm lồn
15,1927,Disgust,loại không biết trân_trọng những gì mik nhận được thì mãi_mãi chỉ là những kẻ nghèo_hèn bẩn_thỉu 
16,1113,Enjoyment,per 1 thời mệ nội kho thịt ngon hí
17,1082,Disgust,bạn không có quyền đuổi người ta . khó_chịu thì gọi ca giao_thông thôi . bạn đuổi họ bạn sai lè lè
18,781,Sadness,"đôi_khi cũng muốn dỗi lắm , nhưng nghĩ_lại đéo có người_yêu mà dỗi"
19,1036,Sadness,ngô ̀ i đo ̣ c bình_luận chu ́ người no ́ tag người_yêu va ̀ o ma ̀ sô ́ người mu ̃ i la ̣ i cay = ) )
20,281,Enjoyment,đã đẹp_trai còn khôn 
21,528,Anger,cũng chỉ vì việt_nam nuôi một lũ kỹ_sư . tiến_sĩ phá_hoại mới làm thiệt_hại kinh_tế nhiều vô_kể chúng_nó sài toàn bằng tại trức thì biết con_mẹ gì mà đưa cây cao_su ra bắc trồng khác gì đưa cây dừa ở trong nam ra bắc trồng . một lũ bò
22,623,Anger,nghe cái giọng thằng quay_phim ăn_nói đoạn cuối thực_sự muốn làm 1 đấm nhẹ nhẹ vô cái mỏ nó . chả vui_vẻ gì .
23,460,Enjoyment,khi 2 đứa giận nhau thì dắt nhau vào nn là xong = ) ) ) )
24,238,Disgust,làm_ăn nhố_nhăng
25,185,Fear,tao sợ ăn xong nóng đêm gãi toét chân
26,1006,Disgust,tao không được ăn thì mày cung đừng hòng
27,1717,Surprise,per giảm_tốc kìa haha
28,1562,Enjoyment,mẹ đi ngầu chết mẹ đi được chứ kì_quặc gì = ) ) ) )
29,845,Sadness,moá . tao muốn chết quách cho_rồi
30,1633,Disgust,nói_chuyện như_vậy bảo sao đất_nước không phát_triển
31,903,Other,còn đỡ hơn bữa ăn sáng nay của tao nhiều .
32,1539,Anger,dume . lưu_manh từ nhỏ . khốn_nạn
33,1780,Enjoyment,anh đã mơ về một ngôi nhà và những đứa trẻ 臘‍♂️
34,38,Fear,mẹ tao vừa đọc xong còn tag tên tao vào . bọn mày có cách nào trưa nay không về nhà mà vẫn có tiền ăn cơm không_chỉ tao với
35,224,Fear,"per nhớ ngày_xưa gần nhà mày có đàn ngỗng , tụi khốn_nạn đó toàn đi dàn hàng ngang chắn hết đường hết lối , mỗi lần tao đạp xe qua là rượt tao gần chết : v ám_ảnh vãi"
36,373,Fear,"tao rợn hết người luôn , ghi công mày "
37,751,Other,tôi nghĩ nên tăng tiền phạt lên
38,331,Disgust,ác_độc thế
39,955,Disgust,dơ_dáy
40,307,Other,"không biết sao chứ tao đọc bình_luận thấy toàn bình_luận bảo là chữ này là do người_lớn viết ra , rút cuộc là sao ?"
41,756,Sadness,kím cớ nói_chuyện chỉ để biết người đó làm gì đang như nào . có vui hay buồn . rồi lại thôi
42,795,Enjoyment,năm nay thì đở hơn rồi kkkk
43,1869,Surprise,"hôm_qua còn không có lông chân , hôm_nay mọc lẹ thế = ) ) )"
44,270,Enjoyment,lương cũng sắp về rồi 
45,1352,Enjoyment,ồ ! rất nhớ !
46,105,Disgust,phản dame gắt vãi
47,1202,Other,t chốg mắt lên xem chúg mày mặn nồg đến bao_giờ 
48,633,Other,vậy thấy đứa nào thân thân với mình là mình block nó lại à ? ? . - .
49,929,Other,thoáng chốc thành đống sắt vụn
50,1743,Surprise,"moá ơi , lợn mặt_trăng "
51,437,Enjoyment,sống với nhau đến cuối đời người ta cũng chỉ mong có vậy .
52,1219,Sadness,nhìn là yêu roi muốn nuôi quá_trời mà sợ không chăm được em 
53,1005,Enjoyment,"đúng vậy , có họ ở bên cạnh nuôi_nấng ta từng ngày đã là quý lắm rồi"
54,860,Disgust,thực_sự là một trò_cười
