,free_text,label_id
0,Coi cười xỉu,0
1,Chi ba vang ngoc dep va tre mai,0
2,"Chần vần một đống , không ai đoán trước được đừng xưng_hô tiên_tri",0
3,Du_học_sinh Úc mà_lại,0
4,Dm báo lá_cải .. Nghĩ gì khi ở qn mà có hơn 30% hộ nghèo .. Lên google hỏi xem tỉnh nào kinh_tế lớn nhất cả nước,0
5,Mai_Đoàn mới nãy không thấy ai rep cmt vừa rep xong thấy quá tr người luôn  4G như quẹt vậy á,0
6,My su,0
7,Muốn có 1 cô em trong bộ_tộc cùng hợp_tác để ra sản_phẩm cạnh_tranh cùng Tùng ,0
8,gays lên nn,0
9,"@ Ngoc_Quynh_Nhu_Nguyen Nó góp_ý thì có ngon vào thẳng Facebook Linda mà góp , đm góp trên đây cho cha_mẹ nó đọc hả gì . Thứ ngu mà đéo biết nhận_xét",2
10,Link đâu thằng kia,0
11, Nghe lại vẫn ghiền .,0
12,From_Mixi_Long_An chúc a và gia_đình lễ Vui_Vẻ,0
13,Chủ_tịch công_ty này đc,0
14,Có_vẻ rất thuyết_phục nha mn = ) ),0
15,"Nguyễn_Vy_Út_Tuyền Việt_Nam ! 3 mấy ca trường_học dc nghỉ , nhật 1 vùng đã 80 ca thì lại k thấy động_tĩnh ... bất_hạnh = ) )",0
16,Tới quảng_cáo coi cũng hay nữa quý dzị,0
17,"Loạn , loạn hết mẹ nó rồi . Con thắm bây_giờ chuyển sang trình_bày văn_hoa lịch_thiệp , thằng ngã cây thì đi làm thiết_kế thời_trang . Còn thằng đánh giầy mất con_mẹ hút . Có phải tại giời mưa lâu quá không ? ? ?",0
18,2022 ? ? ? ? ? ?,0
19,Có ai dịch tiếng Đài_Loan và gửi cho chính_quyền Đài_Loan không ?,0
20,Vì tương_lai em không đeo khâu trang,0
21,chậm cái địt_mẹ m,2
22,: v hổm vừa thấy bên comcom nói cái gì đó ý,0
23,Tao cầu_mong sao ông_bà cha mẹ_con_cái mày tích_cực uống thứ nầy nhá,0
24,Lý_do hôm_qua G2 bị sấp_mặt Và cũng là dự_báo cho vòng 16 tuần sau,0
25,13:22 cười muốn chết,0
26,Mũi chi sao ma méo vay,0
27,Ảnh ghép hú_hồn cái lol còn nguyên 蠟蠟,1
28,Học_vị của ông đến mức nào mà vào bình_phẩm người khác thế,0
29,Không sao đâu các anh đã cố_gắng hết_sức rồi mà . Giao_lưu học_hỏi kinh_nghiệm có vài pha highlight doạ cho bọn Thái sợ : ) ) ),0
30,chúc tộc_trưởng . Sói và cà chị trang và em bé trong bụng nghỉ lễ vui_vẻ luôn a,0
31,Sao ko làm nhạc vui_vẻ tí à sao thấy mang tính_chất cổ cậy,0
32,Luu_Hai_Long sợ thật a ơi,0
33,Tưởng những quả bầm dập đem cúng bác_Hồ bác Giáp ....,0
34,"Hoang_Anh_Tuấn ở Mỹ và các nước dân_chủ Tây_Âu ko có người tàn_tật , trẻ_em và người già ( trên 65 t ) phải ra đường ăn_xin đâu thím",0
35,Lý_Thành_Công phục cái máu lồn,1
36,Ba cát lạng,0
37,Lầy ' s Suspi ' s,0
38,Cánh hoa gì lạ l.o.n zị nè Nguyễn_Mỹ_Diễm,2
39,OK thầy iu,0
40,Đúng là Trung của thời trẻ trâu mà giờ Trung đã thành già trâu : ) ) ),0
41,Hòn_Ngọc_VIỄN_Đông óc chó ạ : 3,2
42,Ngầu quá thầy ơi,0
43,Ko bắt tai,0
44,Cứ phải chửi cho mới chịu im : ) ) ),1
45,Nguyễn_Thị_Luận_Nam Định cũng vậy,0
46,nhưng_mà thua,0
47,1% sức_mạnh của team,0
48,Bọn nó bán nước hết rồi . Chế_độ độc_tài độc đảng thì không 1 cơ_chế nào có_thể ngăn bọn chúng bán nước cả .,2
49,Em chào chị Ba ! ! Chị tốt_bụng quá.lần đầu em xem clip này.rất vui đc biết chị ..,0
50,Tiừ từ thôi các ban ới,0
51,Anh độ chửi con nhân_vật ngu mọi người ạ . Trong khi anh ấy ... mọi người hiểu ý tôi chứ,0
52,Võ_Minh_Hiếu gửi vid cho mik vs,0
