,index,comment,n_star,date_time,label
0,0,"Máy ok , k chê điểm nào , chính_thức là fans ViVo_Mọi chức_năng đều như_ý mình mong_muốn Lần đầu_tiên xài thử vivo",5,9/7/2020,{GENERAL#Positive};{SER&ACC#Positive};
1,1,"Mới sài được 3 ngày sản_phẩm thì khá là ok , lỗi thì chưa thấy nhưng chỉ có cái nghe gọi thì loa hơi nhỏ phải bật loa ngoài mới nghe được , chụp hình thì đẹp rõ chơi game thì đối_với liên_quân nha , lúc không giao_tranh thì mạng hơi cao nhưng lúc giao_tranh chỉ 8ms hoặc ít hơn , còn bubg thì mượt bắn thì khá là đc mạng thì không cao lắm mua tầm giá này chắc là ok pin sài thì 2 ngày sạc 1 lần có chơi game đấy , 1 trận liên_quân mấy chục phút mà tuột có 4-5 ℅ pin thì khá là ok ",5,4/5/2020,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Neutral};{GENERAL#Positive};
2,2,Dùng tốt chơi game bao mượt không nóng như lời đồn pin trâu nói_chung là tốt rất hài_lòng nhân_viên vui_vẻ nhiệt_tình ok ..,5,14/12/2019,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};
3,3,"Có ai giống mh kg , mh mua ip 7 plus , mấy bị hở viền bên phải . Xong đem máy ra dc đợi lại cái mới . Cái mới bóc ra cùng bị hở nữa những nhẹ hơn cái trước . Máy mấy b xem coi có ai mua bị hở giống mh kg . Buồn thiệt chứ . Đã z mấy còn kêu ọp_ẹp khi vận_động mạnh . Không biết có ảnh hướng gì về chất_lượng máy hok.xài lâu_dài hok bịt sao nữa",3,7/3/2019,{DESIGN#Negative};{OTHERS};
4,4,Ko bjk ngày_mai có ra đổi đc ko đây . Mới mua hqua dùng có mùi cháy khet của linh_kiện . Dùng càng lâu mùi khét càng nặng . Jo ko dám dùng luôn . Chưa bjo dùng đt mà lo_sợ vãi,2,29/03/2020,{PERFORMANCE#Negative};{OTHERS};
5,5,"Sản_phẩm rất tốt , mượt_mà , pin quá trâu , camera đẹp , chỉ mổi tội không được trang màn_hình super amoled , thích cái màn super amoled vì màu đen của nó quá sâu cực sâu lunk",5,18/05/2020,{SCREEN#Negative};{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};
6,6,"Tôi hiện đang dùng Sam sung S20 Plus ( đổi từ Samsung S7 edge khi Hoàng_Hà mobile phối_hợp Samsung đổi máy cũ lên mới ) . Qua gần 2 tháng dùng ss 20 + , gặp vấn_đề 3 lần bị treo đơ máy , ảnh chụp khá đẹp nhưng khi đưa ảnh chụp vào lưu_trữ khá chậm và ko hơn gì con s7egd cũ của tôi là bao .",3,6/8/2020,{CAMERA#Neutral};{PERFORMANCE#Negative};{OTHERS};
7,7,máy chạy rất tốt hàng rất đản bảo các bạn nhân_viên phục_vụ rất nhiệt_tình tôi thấy rất ưng_ý,5,27/06/2018,{GENERAL#Positive};{SER&ACC#Positive};
8,8,"Mình mới mua A51 được vài ngày , theo mình cảm_nhận . 1 máy giá hơi cao so với giá_trị của máy 2 pin xài rất kém chưa đến 1 ngày đả hết pin dù chỉ đọc báo . 3 camera quá tệ đúng_ra 4 camera mà chụp hình_như có 1 camera . 4 xài chút_xíu dt sẻ nóng lên ở sao lưng dt . Tóm_lại A51 thật_sự thất_vọng đối_với mình !",3,19/04/2020,{CAMERA#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{PRICE#Negative};{GENERAL#Negative};{OTHERS};
9,9,"Mình hay mua máy ở tgdd vì máy ở đây bảo_đảm và nhân_viên phục_vụ nhiệt_tình . Lần này ra mua con 9s này là đã có điềm rồi . Lúc đầu lấy máy màu xanh bật nguồn ngồi đợi đến 15p máy ko lên luôn , xong đổi ra con máy màu xám . Bật cái lên trong vòng 5 đến 10 giây . Cảm_thấy hài_lòng và nhận máy đi về . Về xài mới thấy máy hay bị đơ quá . Đang chơi game nặng 1 xíu là đơ máy luôn . Không nhẽ lại ra trả chấp_nhận chịu lỗ tiền vậy . Buồn cho ẻm này quá",3,15/04/2020,{PERFORMANCE#Negative};{DESIGN#Neutral};{GENERAL#Negative};{SER&ACC#Positive};
10,10,Em sài gần 48 tiếng bây h nó vẫn còn pin Em dùng tiktok YouTube Facebook game message đủ thứ Sạc nhanh Chơi game rất đã tay Nên mua em này,5,3 tuần trước,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
11,11,Dùng đc 1 tháng thì lỗi máy_ảnh trầm_trọng . phải khởi_động lại mới dùng được . quá bất_tiện . quá phí tiền,1,10/6/2020,{CAMERA#Negative};{PRICE#Negative};{GENERAL#Negative};
12,12,"Cái này có chống nước với chống bụi không , cái này với cái s10 lite cái nào sài ngon hơn",2,13/02/2020,{OTHERS};
13,13,Máy nhìn_chung OK chip mạnh chụp hình đẹp sắc siêu nhanh . Máy năng cầm_chắc tay . Ai bình_luận sao chứ mình thấy quá tuyệt_vời . Không có điểm trừ sở .,5,16/01/2020,{CAMERA#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};
14,14,Mới mua về dùng đã lắm loa to dùng mượt chơi game thì hết chê luôn.nói chung là ok,5,12/10/2019,{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
15,15,Sài 2 ngày chưa hết pin . Tìm điểm chê khó luôn ^ ^ ko có ghi_âm cuộc_gọi,5,9/1/2020,{FEATURES#Negative};{BATTERY#Positive};{GENERAL#Positive};
16,16,"Sản_phẩm tệ , không như mô_tả . Nhiều lỗi nhỏ nói nhân_viên chỉ hoài mà không hết . Cảm_thấy không đáng mua .",1,12/8/2020,{GENERAL#Negative};{SER&ACC#Negative};
17,17,"Có hiện_tượng tự khởi_động lại , gọi điện_thoại bĩ rè , vọng , lẫn tạp_âm bên ngoài quá lớn",2,2 tuần trước,{FEATURES#Negative};{PERFORMANCE#Negative};
