,index,comment,n_star,date_time,label,segmented_comment
0,0,"Mới mua máy này Tại thegioididong thốt_nốt cảm_thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khoẻ sóng ổn_định , giá_thành vừa với túi_tiền , nhân_viên tư_vấn nhiệt_tình",5,2 tuần trước,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"Mới mua máy này Tại thegioididong thốt_nốt cảm_thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khoẻ sóng ổn_định , giá_thành vừa với túi_tiền , nhân_viên tư_vấn nhiệt_tình"
1,1,Pin kém còn lại miễn chê mua 8/3/2019 tình_trạng pin còn 88% có ai giống tôi không,5,14/09/2019,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};,Pin kém còn lại miễn chê mua 8/3/2019 tình_trạng pin còn 88% có ai giống tôi không
2,2,Sao lúc gọi điện_thoại màn_hình bị chấm nhỏ nháy gần camera trước vậy ( lúc có lúc không ),3,17/08/2020,{FEATURES#Negative};,Sao lúc gọi điện_thoại màn_hình bị chấm nhỏ nháy gần camera trước vậy ( lúc có lúc không )
3,3,"Mọi người cập_nhật phần_mềm lại , nó sẽ bớt tốn pin , mình đã thử rồi , mọi thứ cũng ok , nhưng vân tay ko nhạy",3,29/02/2020,{FEATURES#Negative};{BATTERY#Neutral};{GENERAL#Neutral};,"Mọi người cập_nhật phần_mềm lại , nó sẽ bớt tốn pin , mình đã thử rồi , mọi thứ cũng ok , nhưng vân tay ko nhạy"
4,4,"Mới mua Sài được 1 tháng thấy pin rất trâu , Sài bao mượt . Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa .. mất rút tai nghe ra cắm vào lại thì nó mới nghe được ...",5,4/6/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{SER&ACC#Negative};,"Mới mua Sài được 1 tháng thấy pin rất trâu , Sài bao mượt . Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa .. mất rút tai nghe ra cắm vào lại thì nó mới nghe được ..."
5,5,"Xài tốt , rất mượt , pin trâu nếu các bạn để độ sáng vừa đủ , nhân_viên nhiệt_tình , vui_vẻ , nói_chung là tầm giá này thì máy này là quá tốt rồi",5,20/06/2019,{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,"Xài tốt , rất mượt , pin trâu nếu các bạn để độ sáng vừa đủ , nhân_viên nhiệt_tình , vui_vẻ , nói_chung là tầm giá này thì máy này là quá tốt rồi"
6,6,Mình mới xài được 7 tháng xuống 7% pin . Chả hiểu máy mới kiểu gì nữa . Dùng cơ_bản lướt web cơ_bản game ko chơi,1,1 tuần trước,{BATTERY#Negative};{OTHERS};,Mình mới xài được 7 tháng xuống 7% pin . Chả hiểu máy mới kiểu gì nữa . Dùng cơ_bản lướt web cơ_bản game ko chơi
7,7,"Hôm_qua ngày 23/6/2020 e ra thế_giới di_động mua chiếc dthoai galaxy A51 , . Lúc đầu bên cửa_hàng báo_giá 7.790.00 đ được tặng phiếu mua hàng 250k , lúc thanh_toán thì nhân_viên lại thanh_toán 7.990.000 đ không có phiếu mua hàng , đi 20km xuống mua thoai , tối về đến nhà nhân_viên mới gọi đến có xin_lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k .... chán quá , đúng là làm mất thời_gian ..",2,23/06/2020,{SER&ACC#Negative};{OTHERS};,"Hôm_qua ngày 23/6/2020 e ra thế_giới di_động mua chiếc dthoai galaxy A51 , . Lúc đầu bên cửa_hàng báo_giá 7.790.00 đ được tặng phiếu mua hàng 250k , lúc thanh_toán thì nhân_viên lại thanh_toán 7.990.000 đ không có phiếu mua hàng , đi 20km xuống mua thoai , tối về đến nhà nhân_viên mới gọi đến có xin_lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k .... chán quá , đúng là làm mất thời_gian .."
8,8,"Tại_sao điện_thoại mới mà sạc nó nóng máy lên quá_trời . T đã tắt tất_cả mạng , ứng dung , game và cấm ko cho chạy nền , cũng ko vừa sạc vừa dùng mà điện_thoại nóng quá_trời . Sạc 3 tiếng mới đầy",2,23/12/2019,{BATTERY#Negative};{OTHERS};,"Tại_sao điện_thoại mới mà sạc nó nóng máy lên quá_trời . T đã tắt tất_cả mạng , ứng dung , game và cấm ko cho chạy nền , cũng ko vừa sạc vừa dùng mà điện_thoại nóng quá_trời . Sạc 3 tiếng mới đầy"
9,9,"Lúc đầu định mua samsung vào shop nhân_viên tư_vấn oppo a 9 . Thất_vọng thực_sự khi dùng oppo . Màn_hình hiển_thị tối_om . Máy chơi game giật lang khó_chịu vl . Sạc thì lâu , k bao_giờ dungg oppo nữa .",1,31/05/2020,{SCREEN#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};{OTHERS};,"Lúc đầu định mua samsung vào shop nhân_viên tư_vấn oppo a 9 . Thất_vọng thực_sự khi dùng oppo . Màn_hình hiển_thị tối_om . Máy chơi game giật lang khó_chịu vl . Sạc thì lâu , k bao_giờ dungg oppo nữa ."
