,free_text,label_id
0,Đừng cố biện_minh = ) ) ) ) choi lon,0
1,Haizz . Nthe này thì dân khổ quá,1
2,the nay ma chi phat gay roi trat tu cong_cong thoi a dung la dan_minh,0
3,Mua cho em hộp bcs mĩ sài cho oai : ) ),0
4,coin card : 3,1
5,K có điểm dừng luôn hả trời ☹️☹️☹️,0
6,cái gì thế : ) ),0
7,Chi ba Chui hay qua,0
8,Lê_Văn_Quật xin vid ông,0
9,"Lý khùng thì_có , kk",0
10,À thì ra người Nhật cũng chẳng hợn Võ_Hồng_Tâm,0
11,Thầy trêu ổng cho lắm vào bị thế_là đúng r,0
12,Ôi tuổi_thơ,0
13,hang luc nao cung phai chuan nhu hom nay giao toi day nhe,0
14,Lee_Shung_Liem yep yep . ngay chỗ e,0
15,set đồ để các vận_động_viên ăn tết sau vff quản_lý tiền thưởng,0
16,Thay_Ngu,2
17,Đc đấy abe,0
18,Hóng phần 2 của hài hải_ngoại của anh Ba tại Lasvegas,0
19,Sét đánh chết tao đi,0
20,Amen ông vẫn khoẻ Idol của tui,0
21,Chị ba gia_thế giàu chị ơi em khổ quá chị ba ơi giúp cho em đi chị Sài tiền mà tiệm vàng Sài không bằng chị,0
22,( Y ) page này ad nó kiến_thức uyên sâu lắm từ xây_dựng tài_chính y_tế cái j n cũng am_hiểu = ) ) ) ) ngu_dốt + nhiệt_tình = phá_hoại k sai bh,2
23,"Đề_nghị 17 , 22,23,32 đến phà vài hơi vào mẹt tk này để nó đi cách_ly thế_giới hẳn đi .",2
24,"Nhà Xa trường_học , nhà gần cầu_tiêu câu nói đã gắn sâu vào đầu tao : ) ) ) ) )",0
25,A kể chuyện n lại hay vl ,0
26,Hoàng_Yến fan cứng độ mixi thì đi ăn lẩu phan thôi = ) ) ) ) ) ) ) ) ) ) ) ),0
27,From_Bình_Phước < 3,0
28,Mong thầy chỉ đóng mv thôi : v,0
29,Tấu hài ,0
30,@ Anh Nguyen_Tuan_Đúng rồi hihi,0
31,Doi truong cao bang,0
32,Trần_Linh dell hiểu kiểu gì : ) ),1
33,Alex_Dương thiệt luôn ,0
34,"K nói thì tự_kiêu , nói thì lại tự_ái chứ í thức thế ai mà chịu nổi",1
35,Chán thực_sự = ) ) ),0
36,Lê_Khánh_An kệ ng ta việc nhà mik là giữ top,0
37,"Cô nói_chuyện tự_nhiên , dễ thuơng xem thích ghê",0
38,Hanh_Viet hết cái bọn cực_kì thuyết_phục bây_giờ lại đến bọn : “ Ở nhà giúp mẹ giúp cha .... “ Xàm lol như nhau cả thôi,2
39,yêu thầyyyy nhiềuuuu,0
40,Sói said : “ Daddy finger Where are you ? ” “ Here i am ! “ = ) ),0
41,best cà_khịa,0
42,Nguyễn_Thị_Thuỷ chó con chứ dúi đâu ra,0
43,Phét,0
44,Buồn_cười,0
45,Giống : v,0
46,Thầy tự đạp_đổ chén cơm chứ ai thèm cướp : ) Đang yên đang lành tự_nhiên gáy đấy chứ : 3,0
47,Đẹp_trai quá abe ơi,0
48,Chi_Ba và Hiếu_Minh 2 người thương nhau như chị_em_ruột ; Hiếu minh quay clip nhận quà của chị Ba cho quá_trời luôn . Hiếu_Minh còn hứa cho chị Ba 1 miếng đất và sợi dây_chuyền 10 cây nữa mà . Hứa là nhớ giữ lời đó.Đúng là sống với nhau bằng tình_nghĩa chân_thật .,0
49,Co ba oi co giau lam vay co giup nhung nguoi kho giong nku tui con di co,0
50,Nguyễn thị tươi_thắm đó bạn,0
51,Ai hiểu lắm anh dạ nói em nghe em nói với người đó giùm cho,0
52,Cảm_ơn thầy ba,0
53,Thích nhất bài chiếc khăn gió ấm ,0
54,LKC tập này xinh thực_sự ...,0
55,Đập què giò đi a ba,0
56,Sela kit clear petland phụ_đạo để abe làm hết,0
57,Nguyễn_Ngọc_Linh xét_nghiệm mất 10 tiếng mới có kp.ai rảnh để xếp_hàng đợi 10 tiếng mới được hiến máu đâu,0
58,Toàn thánh phán,0
59,"Chi bà nhiều tiền thì đi làm từ_thiện , còn ơ đó nói_tục tiểu , giơ bẩn . Làm_nhục người vn trên thế_giới . Làm bai hoại nền văn_hoá vn . Xin yêu các cấp có thẩm_quyền vào_cuộc sử lý .",0
60,Một phút bóc đồng_bằng cả đời bóc cức ,1
61,Tết đi sắm đồ tết,0
62,Aba hát hay quá ! ! ! Nghe xong xỉu luôn,0
63,Sếp người ta ,0
64,Éo thích thì biến đi thọc con mắt chóng cái tai lên xem làm ghì,1
65,Hữu_Nghĩa cánh hoa : >,0
66,91652062,0
67,Bà này nói đúng mà bà đó đi làm o sin gửi tiền đô về Việt_Nam hưởng chứ tiền Việt_Nam lam gì có giá_trị tuy bà nói_chuyện thô_lỗ tí nhưng_mà bà nói đúng mà ...,0
68,Sếp ở đâu v ? !,0
69,Ôi bố cái lũ thanh_niên hãm lol . Đẹp_mặt quá ,2
70,Hiền_Hiền trời_đất ôi chị_em,0
71,Duy_Linh mình ra sân_bay đi mà gặp 10 thằng tây thì chỉ 2 người tây chiệu đeo khẩu_trang thôi ,0
72,Cây_bút đẹp vl,0
73,Mấy ông sống nhanh thế = ) ) ),0
74,Mặt chị nhìn sợ hơn mặt ông kia á ,0
75,Trước_sau j cũng đi theo phúc xạo lol,2
76,Theo trung cộng đi rồi đến lúc ko còn lợi_dụng đc bà sẽ thấy cảnh . Hãy nhớ câu đừng nghe những gì cs nói mà .. ,2
77,Công_an mà muốn xử_lý thì 2 ông luật_sư này sẽ biến mất ngay_lập_tức . Chứ chả phải bị đánh giữa đường rồi chụp ảnh máu_me post lên mạng rầm_rầm đâu,0
78,Nặc_Na t cũng ko bt nữa,0
79,"dấu hậu_cần kìa , nội_bộ thôi",0
80,"RIết thằng ad chửi nhảm quá , cp1 gì thì chửi bệnh_viện . Lôi cả cái đất_nước vào làm gì : ) )",2
81,Chúc_mừng idol : ) ),0
82,Vy_Vy ,0
83,Tao bó_tay ..... : v,0
84,Tết có hay không quan_trọng nhất vẫn là do anh thợ cắt tóc Tò_Phạm : ) ),0
85,Ai mua cốc với tui hemmm,0
86,Baroibeo đi ngủ r,0
87,Đọc rất diễn_cảm 10 điểm về chỗ,0
88,3 que nên xem khúc này nhá 3 5:3 0,0
89,cô dễ_thương quá_trời ơi,0
90,Gần đất xa trời rồi nói ít thôi,0
91,ủa cho hỏi Minh_Hiếu là gái thiệt hay_là từ trai sang gái ? ? ? Tại hỏng biết,0
92,Cô Hiếu duyên quá,0
93,bán hàng rẻ ko thơm lâu thì nói không thơm lâu . nói hàng fake . mắc j quảng_bá làm như tốt lắm .,0
94,cái gì cho nó thật tại_sao mình là đàn_ông biến thành đan bà,0
95,Đạt_Royal_Bác thật có con mắt tinh_đời,0
96,"Replay thấy mắc mệt , vote đổi ông edit",0
97,Nghèo_khổ có nhau còn giàu thì sao nhỉ .,0
98,Cậu vàng đi rồi abe ơi huhu,0
99,Chao_anh,0
100,"@ Thanh_Điệp_Phan có_lý , làm gì có ai vừa chống CS mà vừa chửi ông trump",0
101,Cực_kỳ thuyết phục,0
102,Nhìn mặt bà này ...,0
103,tương_lai mong sao tùng xẽ ko chịu hiểm_hoạ chụp ảnh tự sướng như anh độ ngày xưa,0
104,Chửi đáo_để thật !,0
105,Bã nc mà cười xĩu,0
106,Đệ anh Độ toàn sống về đêm,0
107,Kiều_An đợi bài đom_đóm ý bài đấy lyrics có_vẻ hay,0
108,Gấu_Trắng n,0
109,Con_bé này nên xuống địa_ngục quá tởm,2
110,Tý nữa Việt_Nam mà thắng thì .... ,0
111,Đứa nào bảo quảng_cáo sói cho biết_tay,0
112,Nghĩ mà chán : ) ),0
113,Đem ra bắn ngay cái thể_loại ấy,2
114,hóng bro tét đít thằng tùng,0
115,Minh_Hoàng nuôi cá trồng rau rồi ai live cho xem ,0
116,Sống chậm thôi ! ! !,0
117,kicm lúc này,0
118,Nhìn rất iphone nhưng lại là mixi,0
119,Lạy cô Yến ,0
120,Thi_Thi cmt này hợp_lí nè má : ) ),0
121,❤❤❤❤,0
122,Mông_lung như 1 trò_đùa,0
123,yeuu thầy dấu bé baaaa,0
124,Hay lắm á . Xem thử đi ạ .,0
125,Nhìn nhà tiên_tri Trần_Dần đáng thương hơn là đáng trách .,0
126,Lượng tao thích nghỉ,0
127,Đây là thầy ba hay baroibeo ?,0
128,Hồ_Thị_Trúc_Phương hôg sao .. khoảnh_khắc huyền_thoại khác sẽ ra_đời 藍藍,0
129,Vay về cho cán_bộ xây biệt_thự con_em đi du_học,0
130,Nghe lại nhớ hồi ấy sao mình yêu nhau thế_mà lại chia_tay anh nhỉ : ) ),0
131,Hải_Yến bố cái con thái lọ,2
132,Là 1 thằng con trai không nên dùng Facebook,0
133,"Với những trường_hợp trốn cách_ly cứ phạt tù cho nặng mới sợ , đùa sức_khoẻ của bản_thân rồi chẳng may lây_lan ra ngoài lúc đó có xin_lỗi cũng chả ai chấp_nhận đâu",0
134,Ksao anh ơi : < <,0
135,Xuan_Huynh ở bình_thuận cũng bị r nè c,0
136,Lờ ô lờ ôn lờ ôn lôn huyền CHIM : ) ),0
137,Thế mặc 1 quần rồi xoè ra thoii . Dở thế trời,0
138,Con bóng ? ?,0
139,Co thi noi k co thi thoi ba noi oi,0
140,"Mình đừng nói xạo nói_láo nv chị k thích z , vì chị là chúa nói xạo rồi",2
141,Trai hay gái ?,0
142,Bàn_tay em đẹp quá . Nhìn chị là đàn_bà mà xấu quá ..,2
143,"Nó học cách của thằng anh nó đó , hèn , khốn_nạn",2
144,Cái mặt con bò biểu_cảm vãi haha .... đhs tự_nhiên thèm thịt bò khô,1
145,Lại thêm một con khoác_lác,0
146,Noel ,0
147,vcl,1
148,Trung_Tùng,0
149,đang bận chăm con nhá,0
150,"Chắc mọi người viết Nhật thua trong thế_chiến 2 , ngàu xưa ta vẫn gọi là Nhật lùn theo đúng nghĩa_đen . Nói hơi thô_thiển thì đúng gọi là họ lấy giống tây để giúp nguồn gen dân họ tốt hơn , nên chắc chắc ko chỉ là vì chất_lượng cuộc_sống cao mà_còn phải do chất_lượng gen nữa mới đẩy tầm_vóc lên dc",0
151,,0
152,Hôm_qua em ngủ mơ thầy lập kênh mới ,0
153,Cô nói_chuyện cưng quá à,0
154,Em thì thích nhất môn này của thầy mong thầy ra khoá mới để em học_tập thêm ạ,0
155,khi bạn muốn tích đức cho đời nhưng nghiệp quá nặng tại chúng rủa quá nên nghiệp : v,0
156,BGD : “ năm_học này coi như bỏ ”,0
157,Đi đến trường là an_toàn nhất nghe mn,0
158,giờ nhìn sang quá .,0
159,Like 10 năm chất Liek bằng đầu bùi,1
160,để xem r sẽ ra cái mặt gì,0
161,Giờ Linda chững_chạc hơn hồi trước rồi . ,0
162,Hồi bé chỉ suy_nghĩ sao cho mau lớn để con_bé bán cfe đầu đường gọi bằng anh thôi .. giờ lớn rồi thì suy_nghĩ cuộc_sống k chỉ đơn_giản như_vậy thôi,0
163,@ Leetrung_Lê thank ban nha !,0
164,iu thầy dấu bé ba : ),0
165,Nhức óc thật,0
166,Xin video vs,0
167,Nhìn mới ra hết_hồn ... Ahhihi,0
168,tự_nhiên tôi thấy một hiện_tượng lạ,0
169,Cre : em : 3,0
170,8 củ chứ ít gì : ),0
171,Tao cạn_lời với trường_hợp này : ) ),0
172,Không có csgt nào tốt cả .,2
173,Như lol anh ba,2
174,Trần_Quỳnh_Hoa việc nhẹ_nhàng ,0
175,"Trả lại cho căn nhà , thái_độ khác hẳn .......... ! ! ! !",0
176,Một u nhọt quá lớn thì cần phải cắt bỏ nó đi chứ ko nên điều_trị bằng thuốc tiếp tiền mất tật vẫn mang ! !,0
177,Chuoi boi làm gì chi mang toi khau nghiep chư có iit loi gì,0
178,Học đi má 100 cây vàng xài nhiều cũng hết,0
179,Anh Thi rồi đi uống cfe mình ên bao quán luôn : ) ) Chứ làm gì có ai dám lại gần .,0
